time,force,other
1732626093.669563,3.700000,""
1732626093.759563,3.400000,""
1732626093.829564,7.600000,""
1732626093.919564,15.000000,""
1732626094.009564,16.900000,""
1732626094.109564,16.600000,""
1732626094.199564,16.500000,""
1732626094.289564,15.200000,""
1732626094.359564,8.900000,""
1732626094.449564,4.500000,""
1732626094.539565,3.300000,""
1732626094.639565,3.100000,""
1732626094.729565,2.900000,""
1732626094.819565,2.700000,""
1732626094.889565,2.800000,""
1732626094.979565,2.800000,""
1732626095.069565,,"TRIG"
1732626095.099565,3.000000,""
1732626095.169565,3.300000,""
1732626095.229565,3.800000,""
1732626095.319566,4.300000,""
1732626095.419566,9.500000,""
1732626095.509566,16.100000,""
1732626095.599566,17.600000,""
1732626095.669566,17.200000,""
1732626095.759566,16.800000,""
1732626095.849566,14.800000,""
1732626095.949566,9.200000,""
1732626096.039567,5.900000,""
1732626096.129567,5.000000,""
1732626096.199567,4.600000,""
1732626096.289567,4.400000,""
1732626096.379567,4.300000,""
1732626096.479567,4.100000,""
1732626096.569567,4.000000,""
1732626096.629567,,"TRIG"
1732626096.659568,3.900000,""
1732626096.729568,4.200000,""
1732626096.819568,4.500000,""
1732626096.909568,4.400000,""
1732626096.979568,8.600000,""
1732626097.069568,14.900000,""
1732626097.159568,16.400000,""
1732626097.259568,16.300000,""
1732626097.349569,16.500000,""
1732626097.439569,14.400000,""
1732626097.509569,7.900000,""
1732626097.599569,4.700000,""
1732626097.689569,4.300000,""
1732626097.789569,4.300000,""
1732626097.879569,4.000000,""
1732626097.979569,3.700000,""
1732626098.039569,3.400000,""
1732626098.129570,3.200000,""
1732626098.189570,,"TRIG"
1732626098.219570,3.100000,""
1732626098.319570,3.100000,""
1732626098.379570,3.100000,""
1732626098.469570,2.500000,""
1732626098.569570,6.200000,""
1732626098.659570,13.700000,""
1732626098.759570,17.100000,""
1732626098.819571,17.400000,""
1732626098.909571,15.700000,""
1732626098.999571,10.600000,""
1732626099.099571,4.300000,""
1732626099.189571,2.100000,""
1732626099.289571,1.900000,""
1732626099.349571,1.900000,""
1732626099.439571,1.800000,""
1732626099.539572,1.800000,""
1732626099.629572,2.000000,""
1732626099.719572,2.000000,""
1732626099.749572,,"TRIG"
1732626099.819572,2.100000,""
1732626099.879572,2.400000,""
1732626099.969572,2.800000,""
1732626100.069572,3.200000,""
1732626100.159572,7.700000,""
1732626100.219573,13.000000,""
1732626100.319573,14.400000,""
1732626100.409573,14.600000,""
1732626100.499573,14.200000,""
1732626100.599573,12.000000,""
1732626100.659573,8.700000,""
1732626100.749573,7.700000,""
1732626100.849573,6.300000,""
1732626100.939574,5.300000,""
1732626101.029574,4.600000,""
1732626101.099574,4.500000,""
1732626101.189574,4.600000,""
1732626101.279574,4.600000,""
1732626101.309574,,"TRIG"
1732626101.379574,4.700000,""
1732626101.469574,5.100000,""
1732626101.559575,5.400000,""
1732626101.629574,5.800000,""
1732626101.719574,10.300000,""
1732626101.809575,15.400000,""
1732626101.909575,16.800000,""
1732626101.999575,16.800000,""
1732626102.059575,16.100000,""
1732626102.159575,12.600000,""
1732626102.249575,6.400000,""
1732626102.339576,4.600000,""
1732626102.409576,3.500000,""
1732626102.499576,2.700000,""
1732626102.589576,2.100000,""
1732626102.689576,1.900000,""
1732626102.779576,2.000000,""
1732626102.869576,2.100000,""
1732626102.899576,,"TRIG"
1732626102.939576,2.500000,""
1732626103.029577,3.200000,""
1732626103.119577,3.500000,""
1732626103.219577,3.200000,""
1732626103.309577,8.000000,""
1732626103.399577,13.100000,""
1732626103.469577,14.500000,""
1732626103.559577,15.000000,""
1732626103.649577,14.900000,""
1732626103.749578,12.500000,""
1732626103.809577,7.900000,""
1732626103.899578,4.900000,""
1732626103.999578,3.200000,""
1732626104.089578,2.200000,""
1732626104.179578,2.000000,""
1732626104.249578,1.800000,""
1732626104.339578,1.700000,""
1732626104.459578,1.800000,""
1732626104.499579,,"TRIG"
1732626104.529578,2.100000,""
1732626104.619579,2.300000,""
1732626104.709579,2.000000,""
1732626104.779579,2.200000,""
1732626104.869579,7.900000,""
1732626104.959579,12.800000,""
1732626105.059579,14.000000,""
1732626105.149580,14.400000,""
1732626105.239579,14.900000,""
1732626105.309580,12.100000,""
1732626105.399580,6.900000,""
1732626105.489580,5.000000,""
1732626105.559580,3.700000,""
1732626105.649580,3.000000,""
1732626105.739580,2.900000,""
1732626105.839580,3.000000,""
1732626105.929580,2.800000,""
1732626106.029581,3.000000,""
1732626106.059581,,"TRIG"
1732626106.089581,3.200000,""
1732626106.179581,3.300000,""
1732626106.269581,3.400000,""
1732626106.369581,3.900000,""
1732626106.459581,8.900000,""
1732626106.559582,14.100000,""
1732626106.619581,15.200000,""
1732626106.709582,14.900000,""
1732626106.809582,14.200000,""
1732626106.899582,11.600000,""
1732626106.959582,8.900000,""
1732626107.049582,8.100000,""
1732626107.149582,6.900000,""
1732626107.239582,5.900000,""
